theorem,mdl_gain,cost,savings,num_uses,pattern_length,savings_per_use,in_degree,out_degree,proof_type
Algebraic.infinite_of_charZero,-1215.0,1215.0,0.0,0,3,7.755690828930447,0,0,term
Algebraic.aleph0_le_cardinal_mk_of_charZero,-1304.1,1304.1,0.0,0,3,7.755690828930447,0,0,term
Algebraic.cardinal_mk_lift_le_mul,-730.6011323892401,770.8325875090645,40.231455119824474,1,7,40.231455119824474,1,15,tactic
Algebraic.cardinal_mk_lift_le_max,-956.4886183421391,972.0,15.511381657860895,2,3,7.755690828930447,2,0,term
Algebraic.cardinal_mk_lift_of_infinite,-1044.9,1044.9,0.0,0,3,7.755690828930447,0,0,term
Algebraic.countable,-400.6011323892401,408.3568232181705,7.755690828930447,1,3,7.755690828930447,1,4,tactic
Algebraic.cardinal_mk_of_countable_of_charZero,-923.4,923.4,0.0,0,3,7.755690828930447,0,0,term
Algebraic.cardinal_mk_le_mul,-460.23788214544703,460.23788214544703,-0.0,0,2,-0.3632502437930576,0,2,tactic
Algebraic.cardinal_mk_le_max,-454.23788214544703,454.23788214544703,-0.0,0,2,-0.3632502437930576,0,2,tactic
Algebraic.cardinal_mk_of_infinite,-680.4,680.4,0.0,0,3,7.755690828930447,0,0,term
QuaternionAlgebra.Basis.ext,-572.8325875090645,572.8325875090645,0.0,0,7,40.231455119824474,0,1,tactic
QuaternionAlgebra.Basis.i_mul_k,-271.08332370575664,254.11894107272352,-16.96438263303313,2,1,-8.482191316516564,2,5,tactic
QuaternionAlgebra.Basis.k_mul_i,-268.60113238924004,260.1189410727235,-8.482191316516564,1,1,-8.482191316516564,1,6,tactic
QuaternionAlgebra.Basis.k_mul_j,-271.08332370575664,254.11894107272352,-16.96438263303313,2,1,-8.482191316516564,2,5,tactic
QuaternionAlgebra.Basis.j_mul_k,-268.60113238924004,260.1189410727235,-8.482191316516564,1,1,-8.482191316516564,1,6,tactic
QuaternionAlgebra.Basis.k_mul_k,-346.60113238924004,338.1189410727235,-8.482191316516564,1,1,-8.482191316516564,1,11,tactic
QuaternionAlgebra.Basis.lift_zero,-308.1189410727235,308.1189410727235,-0.0,0,1,-8.482191316516564,0,1,tactic
QuaternionAlgebra.Basis.lift_one,-302.1189410727235,302.1189410727235,-0.0,0,1,-8.482191316516564,0,1,tactic
QuaternionAlgebra.Basis.lift_add,-478.23788214544703,478.23788214544703,-0.0,0,2,-0.3632502437930576,0,8,tactic
QuaternionAlgebra.Basis.lift_mul,-543.1894107272351,543.1894107272351,0.0,0,10,64.588278337995,0,32,tactic
QuaternionAlgebra.Basis.lift_smul,-470.1189410727235,470.1189410727235,-0.0,0,1,-8.482191316516564,0,3,tactic
QuaternionAlgebra.hom_ext,-1255.5,1255.5,0.0,0,3,7.755690828930447,0,0,term
Quaternion.hom_ext,-1206.9,1206.9,0.0,0,3,7.755690828930447,0,0,term
bddAbove_inv,-413.1,413.1,0.0,0,3,7.755690828930447,0,0,term
bddBelow_inv,-413.1,413.1,0.0,0,3,7.755690828930447,0,0,term
BddAbove.inv,-445.5,445.5,0.0,0,3,7.755690828930447,0,0,term
BddBelow.inv,-445.5,445.5,0.0,0,3,7.755690828930447,0,0,term
isLUB_inv,-388.79999999999995,388.79999999999995,0.0,0,3,7.755690828930447,0,0,term
isLUB_inv',-396.9,396.9,0.0,0,3,7.755690828930447,0,0,term
IsGLB.inv,-421.2,421.2,0.0,0,3,7.755690828930447,0,0,term
isGLB_inv,-388.79999999999995,388.79999999999995,0.0,0,3,7.755690828930447,0,0,term
isGLB_inv',-396.9,396.9,0.0,0,3,7.755690828930447,0,0,term
IsLUB.inv,-421.2,421.2,0.0,0,3,7.755690828930447,0,0,term
BddBelow.range_inv,-1085.4,1085.4,0.0,0,3,7.755690828930447,0,0,term
BddAbove.range_inv,-1085.4,1085.4,0.0,0,3,7.755690828930447,0,0,term
mul_mem_upperBounds_mul,-1150.2,1150.2,0.0,0,3,7.755690828930447,0,0,term
subset_upperBounds_mul,-850.5,850.5,0.0,0,3,7.755690828930447,0,0,term
mul_mem_lowerBounds_mul,-1150.2,1150.2,0.0,0,3,7.755690828930447,0,0,term
subset_lowerBounds_mul,-850.5,850.5,0.0,0,3,7.755690828930447,0,0,term
BddAbove.mul,-745.2,745.2,0.0,0,3,7.755690828930447,0,0,term
BddBelow.mul,-745.2,745.2,0.0,0,3,7.755690828930447,0,0,term
BddAbove.range_mul,-1328.4,1328.4,0.0,0,3,7.755690828930447,0,0,term
BddBelow.range_mul,-1328.4,1328.4,0.0,0,3,7.755690828930447,0,0,term
ciSup_mul,-688.8443091710695,696.6,7.755690828930447,1,3,7.755690828930447,1,0,term
ciSup_div,-524.1189410727235,524.1189410727235,-0.0,0,1,-8.482191316516564,0,2,tactic
ciInf_mul,-688.8443091710695,696.6,7.755690828930447,1,3,7.755690828930447,1,0,term
ciInf_div,-524.1189410727235,524.1189410727235,-0.0,0,1,-8.482191316516564,0,2,tactic
mul_ciSup,-696.6,696.6,0.0,0,3,7.755690828930447,0,0,term
mul_ciInf,-696.6,696.6,0.0,0,3,7.755690828930447,0,0,term
NeZero.ne,-219.20772927673883,413.1,193.8922707232612,25,3,7.755690828930447,25,0,term
NeZero.ne',-421.2,421.2,0.0,0,3,7.755690828930447,0,0,term
neZero_iff,-365.5329275132086,388.79999999999995,23.267072486791342,3,3,7.755690828930447,3,0,term
neZero_zero_iff_false,-680.4,680.4,0.0,0,3,7.755690828930447,0,0,term
not_neZero,-302.1189410727235,302.1189410727235,-0.0,0,1,-8.482191316516564,0,1,tactic
eq_zero_or_neZero,-313.65325590818236,445.5,131.8467440918176,17,3,7.755690828930447,17,0,term
zero_ne_one,-30.824405290590505,542.7,511.87559470940954,66,3,7.755690828930447,66,0,term
one_ne_zero,1450.512543035125,542.7,1993.212543035125,257,3,7.755690828930447,257,0,term
ne_zero_of_eq_one,-608.8772366842782,639.9,31.02276331572179,4,3,7.755690828930447,4,0,term
two_ne_zero,927.0938566150201,631.8,1558.89385661502,201,3,7.755690828930447,201,0,term
three_ne_zero,-601.4658550264173,648.0,46.534144973582684,6,3,7.755690828930447,6,0,term
four_ne_zero,-639.9,639.9,0.0,0,3,7.755690828930447,0,0,term
zero_ne_one',-486.0,486.0,0.0,0,3,7.755690828930447,0,0,term
one_ne_zero',-486.0,486.0,0.0,0,3,7.755690828930447,0,0,term
two_ne_zero',-518.4,518.4,0.0,0,3,7.755690828930447,0,0,term
three_ne_zero',-534.6,534.6,0.0,0,3,7.755690828930447,0,0,term
four_ne_zero',-526.5,526.5,0.0,0,3,7.755690828930447,0,0,term
NeZero.of_pos,-478.93292751320865,502.2,23.267072486791342,3,3,7.755690828930447,3,0,term
Nat.pos_of_neZero,-429.29999999999995,429.29999999999995,0.0,0,3,7.755690828930447,0,0,term
LinearRecurrence.is_sol_mkSol,-492.3568232181705,492.3568232181705,0.0,0,3,7.755690828930447,0,1,tactic
LinearRecurrence.mkSol_eq_init,-588.3568232181706,588.3568232181706,0.0,0,3,7.755690828930447,0,5,tactic
LinearRecurrence.eq_mk_of_is_sol_of_eq_init,-1018.6011323892401,1140.0219982362996,121.42086584705956,1,17,121.42086584705956,1,16,tactic
LinearRecurrence.eq_mk_of_is_sol_of_eq_init',-1287.9,1287.9,0.0,0,3,7.755690828930447,0,0,term
LinearRecurrence.is_sol_iff_mem_solSpace,-648.0,648.0,0.0,0,3,7.755690828930447,0,0,term
LinearRecurrence.sol_eq_of_eq_init,-796.60113238924,853.0704696545115,56.469337265271484,1,9,56.469337265271484,1,8,tactic
LinearRecurrence.solSpace_rank,-494.1,494.1,0.0,0,3,7.755690828930447,0,0,term
LinearRecurrence.geom_sol_iff_root_charPoly,-555.8939129785216,701.3083517999586,145.414438821437,2,11,72.7072194107185,2,10,tactic
discrim_neg,-548.1189410727235,548.1189410727235,-0.0,0,1,-8.482191316516564,0,1,tactic
discrim_eq_sq_of_quadratic_eq_zero,-766.60113238924,766.237882145447,-0.3632502437930576,1,2,-0.3632502437930576,1,2,tactic
quadratic_eq_zero_iff_discrim_eq_sq,-1078.60113238924,1102.5947053636175,23.993572974377464,1,5,23.993572974377464,1,5,tactic
quadratic_ne_zero_of_discrim_ne_sq,-972.0,972.0,0.0,0,3,7.755690828930447,0,0,term
quadratic_eq_zero_iff,-962.1382221495911,1082.8325875090645,120.69436535947342,3,7,40.231455119824474,3,5,tactic
exists_quadratic_eq_zero,-724.6011323892401,740.4757642908941,15.874631901653956,1,4,15.874631901653956,1,2,tactic
quadratic_eq_zero_iff_of_discrim_eq_zero,-898.6011323892401,906.3568232181706,7.755690828930447,1,3,7.755690828930447,1,6,tactic
discrim_le_zero,-538.6011323892401,684.3788214544702,145.77768906523008,1,20,145.77768906523008,1,21,tactic
